Point,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37
P1,inf,0.29,23.9,17.4,17.5,17.5,17.5,30.0,29.8,11.0,11.0,11.0,10.9,11.0,11.0,11.0,11.0,30.2,11.7,13.9,13.8,45.8,22.9,23.4,27.9,27.8,27.8,28.0,28.0,27.8,27.7,27.5,inf,inf,inf,inf,62.0
P2,0.29,inf,23.6,17.1,17.2,17.2,17.2,29.7,29.5,10.8,10.8,10.7,10.6,10.8,10.8,10.8,10.7,29.9,11.4,13.6,13.5,45.5,22.6,23.2,27.7,27.7,27.5,27.7,27.7,27.5,27.5,27.2,inf,inf,inf,inf,61.7
P3,20.1,19.8,inf,8.3,8.4,8.4,8.4,27.2,27.0,19.8,19.8,19.7,19.7,19.8,19.8,19.8,19.8,27.4,23.4,23.1,23.0,46.3,2.4,0.5,36.1,36.0,35.9,36.1,36.1,35.9,35.8,35.6,inf,inf,inf,inf,59.2
P4,16.2,15.9,8.3,inf,0.1,0.1,0.1,25.6,25.4,15.5,15.5,15.5,15.4,15.0,15.0,15.0,15.0,25.8,16.6,18.8,18.7,47.1,8.7,7.8,34.4,34.4,34.2,34.4,34.4,34.2,34.1,33.9,inf,inf,inf,inf,57.6
P5,16.3,16.0,8.4,0.1,inf,0.1,0.1,25.7,25.5,15.1,15.1,15.0,15.0,15.1,15.1,15.1,15.1,25.9,16.7,18.9,18.8,47.1,8.8,7.9,34.3,34.4,34.3,34.3,34.4,34.3,34.2,34.0,inf,inf,inf,inf,57.7
P6,16.3,16.0,8.4,0.1,0.1,inf,0.1,25.7,25.5,15.6,15.6,15.5,15.5,15.6,15.6,15.6,15.6,25.9,16.2,18.9,18.8,47.1,8.8,7.9,34.4,34.4,34.4,34.4,34.4,34.3,34.3,34.0,inf,inf,inf,inf,57.7
P7,16.3,16.0,8.4,0.1,0.1,0.1,inf,25.7,25.5,15.6,15.6,15.5,15.5,15.6,15.6,15.6,15.6,25.9,16.2,18.9,18.8,47.1,8.8,7.9,34.4,34.4,34.4,34.4,34.4,34.3,34.3,34.0,inf,inf,inf,inf,57.7
P8,30.1,29.8,21.7,28.0,28.1,28.1,28.1,inf,47.4,39.9,39.3,39.2,39.1,39.3,39.3,39.3,39.2,0.1,39.9,48.1,48.0,71.8,20.6,21.2,54.6,54.6,54.5,54.6,54.6,54.5,54.4,54.2,inf,inf,inf,inf,77.1
P9,30.3,30.0,21.9,28.2,28.3,28.3,28.3,0.1,inf,39.5,39.5,39.4,39.3,39.5,39.5,39.5,39.5,0.3,40.1,42.3,42.2,72.0,20.8,21.4,54.8,54.8,54.7,54.8,54.8,54.7,54.5,54.4,inf,inf,inf,inf,77.3
P10,11.1,10.8,21.0,15.5,15.6,15.6,15.6,17.6,17.4,inf,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.8,5.2,4.9,4.8,44.3,21.4,20.5,21.1,21.1,21.0,21.1,21.1,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P11,11.1,10.8,21.0,15.5,15.6,15.5,15.5,17.6,17.4,0.1,inf,0.1,0.1,0.1,0.1,0.1,0.1,17.8,5.2,4.9,4.8,44.3,21.4,20.5,21.1,21.0,21.1,21.1,21.0,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P12,11.0,10.7,20.9,15.4,15.5,15.4,15.4,17.5,17.3,0.1,0.1,inf,0.1,0.1,0.1,0.1,0.1,17.7,5.1,4.8,4.8,44.2,21.3,20.4,21.0,21.0,21.0,21.0,20.9,20.9,20.8,20.6,inf,inf,inf,inf,49.5
P13,11.0,10.7,20.9,15.4,15.5,15.4,15.4,17.5,17.3,0.1,0.1,0.1,inf,0.1,0.1,0.1,0.1,17.7,5.1,4.8,4.8,44.2,21.3,20.4,21.0,21.0,21.0,21.0,20.9,20.9,20.8,20.6,inf,inf,inf,inf,49.5
